"Date","Service","UsageQuantity"
"2025-07-23","AmazonCloudWatch","2.0385398809"
"2025-07-24","AWS Amplify","0.0000006222"
"2025-07-24","AWS Data Transfer","0"
"2025-07-24","AWS Key Management Service","192.032258064"
"2025-07-24","EC2 - Other","74.4251699198"
"2025-07-24","Amazon Elastic Compute Cloud - Compute","48.0019992203"
"2025-07-24","Amazon Elastic Container Service for Kubernetes","204.1176037543"
"2025-07-24","Amazon Elastic Load Balancing","24.003841267"
"2025-07-24","Amazon Route 53","226"
"2025-07-24","Amazon Simple Storage Service","0.0040355168"
"2025-07-24","Amazon Virtual Private Cloud","120.421945"
"2025-07-24","AmazonCloudWatch","2.5387887013"
"2025-07-25","AWS Amplify","0.0000791058"
"2025-07-25","AWS Data Transfer","0"
"2025-07-25","AWS Key Management Service","192.032258064"
"2025-07-25","EC2 - Other","74.353663813"
"2025-07-25","Amazon Elastic Compute Cloud - Compute","48.0010709651"
"2025-07-25","Amazon Elastic Container Service for Kubernetes","204.1176611138"
"2025-07-25","Amazon Elastic Load Balancing","24.003734754"
"2025-07-25","Amazon Route 53","253"
"2025-07-25","Amazon Simple Storage Service","0.0040355168"
"2025-07-25","Amazon Virtual Private Cloud","120"
"2025-07-25","AmazonCloudWatch","2.5389607915"
"2025-07-26","AWS Amplify","0.0000044566"
"2025-07-26","AWS Data Transfer","0"
"2025-07-26","AWS Key Management Service","192.032258064"
"2025-07-26","EC2 - Other","74.5009751319"
"2025-07-26","Amazon Elastic Compute Cloud - Compute","48.0011852763"
"2025-07-26","Amazon Elastic Container Service for Kubernetes","204.1176246232"
"2025-07-26","Amazon Elastic Load Balancing","24.0036073841"
"2025-07-26","Amazon Route 53","166"
"2025-07-26","Amazon Simple Storage Service","0.0040355168"
"2025-07-26","Amazon Virtual Private Cloud","120.423333"
"2025-07-26","AmazonCloudWatch","2.0383167651"
"2025-07-27","AWS Amplify","0.0000008782"
"2025-07-27","AWS Data Transfer","0"
"2025-07-27","AWS Key Management Service","192.032258064"
"2025-07-27","EC2 - Other","74.424887121"
"2025-07-27","Amazon Elastic Compute Cloud - Compute","48.0026599107"
"2025-07-27","Amazon Elastic Container Service for Kubernetes","201.234729631"
"2025-07-27","Amazon Elastic Load Balancing","24.0645595652"
"2025-07-27","Amazon Route 53","201"
"2025-07-27","Amazon Simple Storage Service","0.0040355168"
"2025-07-27","Amazon Virtual Private Cloud","120.4225"
"2025-07-27","AmazonCloudWatch","2.0455824433"
"2025-07-28","AWS Amplify","0.0000009332"
"2025-07-28","AWS Data Transfer","0"
"2025-07-28","AWS Key Management Service","192.032258064"
"2025-07-28","EC2 - Other","73.8296415271"
"2025-07-28","Amazon Elastic Compute Cloud - Compute","48.0031186324"
"2025-07-28","Amazon Elastic Container Service for Kubernetes","132.0031466205"
"2025-07-28","Amazon Elastic Load Balancing","24.0038010607"
"2025-07-28","Amazon Route 53","224"
"2025-07-28","Amazon Simple Storage Service","0.0040355168"
"2025-07-28","Amazon Virtual Private Cloud","120"
"2025-07-28","AmazonCloudWatch","1.9612801569"
"2025-07-29","AWS Amplify","0.0000033389"
"2025-07-29","AWS Data Transfer","0"
"2025-07-29","AWS Key Management Service","192.032258064"
"2025-07-29","EC2 - Other","73.9970704839"
"2025-07-29","Amazon Elastic Compute Cloud - Compute","48.0034784145"
"2025-07-29","Amazon Elastic Container Service for Kubernetes","132.0031291396"
"2025-07-29","Amazon Elastic Load Balancing","24.0036579855"
"2025-07-29","Amazon Route 53","283"
"2025-07-29","Amazon Simple Storage Service","0.0040355168"
"2025-07-29","Amazon Virtual Private Cloud","120"
"2025-07-29","AmazonCloudWatch","1.9609960727"
"2025-07-30","AWS Amplify","0.0000023275"
"2025-07-30","AWS Data Transfer","0"
"2025-07-30","AWS Key Management Service","192.032258064"
"2025-07-30","EC2 - Other","74.0769444731"
"2025-07-30","Amazon Elastic Compute Cloud - Compute","48.0011463036"
"2025-07-30","Amazon Elastic Container Service for Kubernetes","132.0031426414"
"2025-07-30","Amazon Elastic Load Balancing","24.0862295052"
"2025-07-30","Amazon Route 53","152"
"2025-07-30","Amazon Simple Storage Service","0.0040355168"
"2025-07-30","Amazon Virtual Private Cloud","120"
"2025-07-30","AmazonCloudWatch","1.9608996126"
"2025-07-31","AWS Amplify","0.0000009286"
"2025-07-31","AWS Data Transfer","0"
"2025-07-31","AWS Key Management Service","192.032258064"
"2025-07-31","EC2 - Other","73.1063464814"
"2025-07-31","Amazon Elastic Compute Cloud - Compute","47.3441976727"
"2025-07-31","Amazon Elastic Container Service for Kubernetes","132.0031125732"
"2025-07-31","Amazon Elastic Load Balancing","24.0206917903"
"2025-07-31","Amazon Route 53","167"
"2025-07-31","Amazon Simple Storage Service","0.0040355168"
"2025-07-31","Amazon Virtual Private Cloud","120"
"2025-07-31","AmazonCloudWatch","1.9606989588"
"2025-08-01","AWS Amplify","0.000565015"
"2025-08-01","AWS Data Transfer","0"
"2025-08-01","AWS Identity and Access Management Access Analyzer","4"
"2025-08-01","AWS Key Management Service","192.032258064"
"2025-08-01","EC2 - Other","73.9524516315"
"2025-08-01","Amazon Elastic Compute Cloud - Compute","48.003535663"
"2025-08-01","Amazon Elastic Container Service for Kubernetes","132.0031473071"
"2025-08-01","Amazon Elastic Load Balancing","24.0070353984"
"2025-08-01","Amazon Route 53","177"
"2025-08-01","Amazon Simple Storage Service","0.0040355168"
"2025-08-01","Amazon Virtual Private Cloud","120"
"2025-08-01","AmazonCloudWatch","1.9611095897"
"2025-08-01","Tax","0"
"2025-08-02","AWS Amplify","0.0000003111"
"2025-08-02","AWS Data Transfer","0"
"2025-08-02","AWS Key Management Service","192.032258064"
"2025-08-02","EC2 - Other","73.9567619749"
"2025-08-02","Amazon Elastic Compute Cloud - Compute","48.0009743453"
"2025-08-02","Amazon Elastic Container Service for Kubernetes","132.0031492432"
"2025-08-02","Amazon Elastic Load Balancing","24.0685088226"
"2025-08-02","Amazon Route 53","237"
"2025-08-02","Amazon Simple Storage Service","0.0040355168"
"2025-08-02","Amazon Virtual Private Cloud","120"
"2025-08-02","AmazonCloudWatch","1.961173606"
"2025-08-03","AWS Amplify","0.0000003111"
"2025-08-03","AWS Cost Explorer","6"
"2025-08-03","AWS Data Transfer","0"
"2025-08-03","AWS Key Management Service","192.032258064"
"2025-08-03","EC2 - Other","73.8190948362"
"2025-08-03","Amazon Elastic Compute Cloud - Compute","48.002643938"
"2025-08-03","Amazon Elastic Container Service for Kubernetes","132.0031302999"
"2025-08-03","Amazon Elastic Load Balancing","24.0073190298"
"2025-08-03","Amazon Route 53","131"
"2025-08-03","Amazon Simple Storage Service","0.0040355168"
"2025-08-03","Amazon Virtual Private Cloud","120"
"2025-08-03","AmazonCloudWatch","1.9606023832"
"2025-08-04","AWS Amplify","0.0000006221"
"2025-08-04","AWS Data Transfer","0"
"2025-08-04","AWS Key Management Service","192.032258064"
"2025-08-04","EC2 - Other","73.8651588277"
"2025-08-04","Amazon Elastic Compute Cloud - Compute","48.0008600356"
"2025-08-04","Amazon Elastic Container Service for Kubernetes","132.0031341455"
"2025-08-04","Amazon Elastic Load Balancing","24.0058417118"
"2025-08-04","Amazon Route 53","297"
"2025-08-04","Amazon Simple Storage Service","0.0040355168"
"2025-08-04","Amazon Virtual Private Cloud","120"
"2025-08-04","AmazonCloudWatch","1.9610561739"
"2025-08-05","AWS Amplify","0.0000021329"
"2025-08-05","AWS Data Transfer","0"
"2025-08-05","AWS Key Management Service","192.032258064"
"2025-08-05","EC2 - Other","74.0570890191"
"2025-08-05","Amazon Elastic Compute Cloud - Compute","48.0012718842"
"2025-08-05","Amazon Elastic Container Service for Kubernetes","132.0031397054"
"2025-08-05","Amazon Elastic Load Balancing","24.0945453534"
"2025-08-05","Amazon Route 53","138"
"2025-08-05","Amazon Simple Storage Service","0.0040355168"
"2025-08-05","Amazon Virtual Private Cloud","120"
"2025-08-05","AmazonCloudWatch","1.961567251"
