Date,Service,UsageQuantity,,,,BINS,,
2025-07-07,AmazonCloudWatch,1.1805369295,,,1,,,
2025-07-08,AWS Amplify,0.0000059586,,,0,,,
2025-07-08,AWS Data Transfer,0,,,0,,,
2025-07-08,AWS Key Management Service,192.032258064,,,192,,,
2025-07-08,EC2 - Other,49.5915813543,,,50,,,
2025-07-08,Amazon Elastic Compute Cloud - Compute,24.0028867404,,,24,,,
2025-07-08,Amazon Elastic Container Service for Kubernetes,59.08291667,,,59,,,
2025-07-08,Amazon Elastic Load Balancing,24.0042957105,,,24,,,
2025-07-08,Amazon Route 53,324,,,324,,,
2025-07-08,Amazon Simple Storage Service,0.0040355168,,,0,,,
2025-07-08,Amazon Virtual Private Cloud,96,,,96,,,
2025-07-08,AmazonCloudWatch,2.1715458196,,,2,,,
2025-07-09,AWS Amplify,0.000001778,,,0,,,
2025-07-09,AWS Data Transfer,0,,,0,,,
2025-07-09,AWS Key Management Service,192.032258064,,,192,,,
2025-07-09,EC2 - Other,49.6721203761,,,50,,,
2025-07-09,Amazon Elastic Compute Cloud - Compute,24.0092177556,,,24,,,
2025-07-09,Amazon Elastic Container Service for Kubernetes,77.2087247072,,,77,,,
2025-07-09,Amazon Elastic Load Balancing,24.0034042953,,,24,,,
2025-07-09,Amazon Route 53,324,,,324,,,
2025-07-09,Amazon Simple Storage Service,0.0040355168,,,0,,,
2025-07-09,Amazon Virtual Private Cloud,96,,,96,,,
2025-07-09,AmazonCloudWatch,1.9503256383,,,2,,,
2025-07-10,AWS Amplify,0.0000018115,,,0,,,
2025-07-10,AWS Data Transfer,0,,,0,,,
2025-07-10,AWS Key Management Service,192.032258064,,,192,,,
2025-07-10,EC2 - Other,49.9124773751,,,50,,,
2025-07-10,Amazon Elastic Compute Cloud - Compute,24.0008785149,,,24,,,
2025-07-10,Amazon Elastic Container Service for Kubernetes,116.7577016895,,,117,,,
2025-07-10,Amazon Elastic Load Balancing,24.0145463689,,,24,,,
2025-07-10,Amazon Route 53,418,,,418,,,
2025-07-10,Amazon Simple Storage Service,0.0040355168,,,0,,,
2025-07-10,Amazon Virtual Private Cloud,96,,,96,,,
2025-07-10,AmazonCloudWatch,2.4955318445,,,2,,,
2025-07-11,AWS Amplify,0.0014587827,,,0,,,
2025-07-11,AWS CloudFormation,5,,,5,,,
2025-07-11,AWS Data Transfer,0,,,0,,,
2025-07-11,AWS Key Management Service,192.032258064,,,192,,,
2025-07-11,EC2 - Other,50.3288555069,,,50,,,
2025-07-11,Amazon Elastic Compute Cloud - Compute,31.5160128679,,,32,,,
2025-07-11,Amazon Elastic Container Service for Kubernetes,147.0554337605,,,147,,,
2025-07-11,Amazon Elastic Load Balancing,24.004963995,,,24,,,
2025-07-11,Amazon Route 53,547,,,547,,,
2025-07-11,Amazon Simple Storage Service,0.0040355168,,,0,,,
2025-07-11,Amazon Virtual Private Cloud,103.514445,,,104,,,
2025-07-11,AmazonCloudWatch,2.0360122435,,,2,,,
2025-07-12,AWS Amplify,0.0000023796,,,0,,,
2025-07-12,AWS Data Transfer,0,,,0,,,
2025-07-12,AWS Key Management Service,222.032258064,,,222,,,
2025-07-12,EC2 - Other,55.853027733,,,56,,,
2025-07-12,Amazon Elastic Compute Cloud - Compute,48.3484533837,,,48,,,
2025-07-12,Amazon Elastic Container Service for Kubernetes,156.1162295256,,,156,,,
2025-07-12,Amazon Elastic Load Balancing,24.0161854116,,,24,,,
2025-07-12,Amazon Route 53,358,,,358,,,
2025-07-12,Amazon Simple Notification Service,2.0000000447,,,2,,,
2025-07-12,Amazon Simple Storage Service,0.0040355168,,,0,,,
2025-07-12,Amazon Virtual Private Cloud,120.411666,,,120,,,
2025-07-12,AmazonCloudWatch,2.0521260854,,,2,,,
